date,project_title,publishing_organisations,classification,shorter_title
2022-11-22,La ciudad sumergida (The submerged city),Amenaza Roboto (www.amenazaroboto.com),Illustrative,La ciudad sumergida
2022-10-19,Maplab: monitoring the invasion of Ukraine from outer space,Bloomberg,Illustrative,Maplab: monitoring the invasion of Ukraine
2025-06-24,Mapping strikes in the Israel-Iran conflict,The Washington Post,Illustrative,Mapping strikes in the Israel-Iran conflict
2021-10-25,The Chinese Companies Polluting the World More Than Entire Nations,Bloomberg,Illustrative,Chinese companies polluting the world
2025-04-15,The Gaza paramedic killings: a visual timeline,The Guardian,Illustrative,Gaza paramedic killings: visual timeline
2023-12-21,The case of al-Shifa: Investigating the assault on Gaza’s largest hospital,The Washington Post,Illustrative,Al-Shifa: assault on Gaza’s largest hospital
2024-05-08,A Satellite View of Israel’s New Front in Gaza,New York Times,Evidentiary,Israel’s new front in Gaza
2020-10-06,Braende in der Arktis,ZDF,Evidentiary,Braende in der Arktis
2022-08-25,Culture in the Crosshairs,Australian Broadcasting Corporation,Evidentiary,Culture in the crosshairs
2023-07-27,How much snow still covers California’s mountains this July?,LA Times,Evidentiary,Snow covers California mountains in July
2017-06-18,Khama’s Mosu built with public funds,Ink,Evidentiary,Khama’s Mosu built with public funds
2021-09-30,Lanes of Death in East Cairo,Arab Reporters for Investigative Journalism (ARIJ),Evidentiary,Lanes of death in East Cairo
2022-03-16,Putin's Attack on Ukraine: Documenting War Crimes,"The Associated Press, FRONTLINE",Evidentiary,Putin's Attack on Ukraine
2023-03-05,Satellite Images Reveal How Russia's Invasion Has Devastated The Environment In Ukraine,Radio Free Europe (Ukraine),Evidentiary,Russia's invasion devastated environment in Ukraine
2024-04-18,Satellite images reveal the destruction of hospitals in Gaza,Al Jazeera,Evidentiary,Destruction of hospitals in Gaza
2021-12-03,"Supply chains, interrupted. Why a bicycle takes 40 days to reach Singapore",The Straits Times,Evidentiary,"Supply chains, interrupted"
2021-08-10,This is Myanmar's State of Fear,"101 East, AJLabs, Al Jazeera Media Network",Evidentiary,Myanmar’s state of fear
2022-08-18,What and when Russia shelled in Ukraine,TEXTY.org.ua,Evidentiary,What and when Russia shelled in Ukraine
2020-01-21,Assessing Australia's ecological disaster,Reuters,Investigative,Australia’s ecological disaster
2024-12-12,Dozens of UAE flights head to airstrip UN says supplies arms to Sudan rebels,Reuters,Investigative,UAE flights supply arms to Sudan rebels
2021-11-03,Fires in arable land,Texty.org.ua,Investigative,Fires in arable land
2023-11-22,Harvest from the occupied territories,Texty,Investigative,Harvest from the occupied territories
2023-11-27,How China is tearing down Islam,Financial Times,Investigative,How China is tearing down Islam
2022-10-17,How Russian Ships Are Laundering Grain Stolen From Occupied Ukraine,Bloomberg,Investigative,Russian ships laundering grain from occupied Ukraine
2020-08-27,Inside China's Vast Infrastructure To Detain Muslims,BuzzFeed News,Investigative,China’s infrastructure to detain Muslims
2021-05-18,Is there such a thing as sustainable palm oil? Satellite images show protected rainforest on fire,Neue Zürcher Zeitung,Investigative,Is there such a thing as sustainable palm oil?
2022-08-09,Myanmar's poisoned mountains,Global Witness,Investigative,Myanmar's poisoned mountains
2020-09-23,Smoke screen: Fire/deforestation in the Amazon,Ambiental Media,Investigative,Smoke screen: Fire/deforestation in the Amazon
2022-09-29,Big oil's dirty secret in Iraq,Unearthed,Hybrid,Big oil's dirty secret in Iraq
2022-07-18,Heat hazards: Is your area vulnerable to extreme heat?,BBC News,Hybrid,Is your area vulnerable to extreme heat?
2015-03-12,Syria After Four Years of Mayhem,New York Times,Hybrid,Syria after four years of mayhem
2022-08-02,The Illegal Airstrips Bringing Toxic Mining to Brazil’s Indigenous Land,New York Times,Hybrid,Illegal airstrips in Brazil’s indigenous land
2020-07-20,The deadly secret of China's invisible armada,NBC News,Hybrid,China’s invisible armada
2024-06-03,What Ukraine Has Lost,New York Times,Hybrid,What Ukraine has lost
2021-08-23,Engolindo Fumaça (Inhaling Smoke),InfoAmazonia,Experimental,Engolindo Fumaça
2022-07-13,Here's who lives in your city's worst heat islands,CBC/Radio-Canada,Experimental,Your city's worst heat islands
2023-03-16,How Forest Loss Can Unleash the Next Pandemic,ProPublica,Experimental,How forest loss can unleash the next pandemic
2021-03-09,Mururoa Files,"Disclose,Interprt,Princeton",Experimental,Mururoa Files
2025-05-05,Satellite imagery shows Gaza’s destruction and resilience with war unresolved,Bloomberg,Experimental,Gaza’s destruction and resilience
2016-09-19,Who is the wet prince of Bel Air?,Reveal News,Experimental,Who is the wet prince of Bel Air?
