id,item_source,country,publishing_organisations,shorter_title,project_title,project_link_1,subject_theme,subject_theme_2,networked,network_partners,classification,methodology_or_peer_review,classification_rationale,data_type,operative_use,derived_data_product,sources,data_supplier,modality,pub_private,pub_private_both,date
2,sigma,United States,BuzzFeed News,China’s infrastructure to detain Muslims,Inside China's Vast Infrastructure To Detain Muslims,https://www.buzzfeednews.com/article/meghara/china-new-internment-camps-xinjiang-uighurs-muslims,Urbanism and infrastructure,NA,NA,NA,Investigative,methodology published,"Gaps in one data source are used to identify evidence using others, and then supplemented with reporting from non-RSEO sources including academia, govt reports, site visits and witness testimony. RSEO’s role in this story is both to identify the locations in question and to show evidence of what’s behind the redacted images. The methodology says that a custom web tool was built to handle the data, but there’s no indication that computational methods were used, categorizing this story as investigative.",Optical,VIS,NA,"Google Earth, Planet, Baidu, SentinelHub","Google, Planet, Baidu, ESA",RGB,"Public, Commercial",Both,2020-08-27
3,sigma,United States,NBC News,China’s invisible armada,The deadly secret of China's invisible armada,https://www.nbcnews.com/specials/china-illegal-fishing-fleet/,Shipping and logistics,NA,yes,"Global Fishing Watch, Outlaw Ocean Project",Hybrid,methodology published,"The analysis by Global Fishing Watch is original, and uses machine learning approaches which are documented in parallel scientific publications.  The study was adapted for NBC, and the output of a process which combined multiple data sources (optical, VIIRS, SAR) with machine learning visualised intuitively for a public audience by the newsroom's visual journalists in the form of an animated map. Because the analysis itself was conducted independently and supplied to NBC, this story is categorised as hybrid","Optical, VIIRS, SAR","MS, MW",NA,"Planet, CSA","Planet, CSA",NA,"Public, Commercial",Both,2020-07-20
4,sigma,Singapore,Reuters,Australia’s ecological disaster,Assessing Australia's ecological disaster,https://graphics.reuters.com/AUSTRALIA-BUSHFIRES-WILDLIFE/0100B5672VM/index.html,Climate and environment,NA,NA,NA,Investigative,Methodology published,"This analysis combines RSEO data with geospatial data to produce its conclusions, qualifying it for the experimental category. Because FIRMS is a standardised and widely accepted data product, this use of the RSEO data doesn’t meet the original analysis threshold for Hybrid or Experimental.","VIIRS, MODIS","MS, TIR",FIRMS,"Terra, Acqua, NOAA, SentinelHub","NASA, ESA","TIR, SWIR",Public,Public,2020-01-21
6,sigma,Ukraine,Texty.org.ua,Fires in arable land,Fires in arable land,https://texty.org.ua/projects/105282/ukraine-there-are-about-20000-fires-arable-land-yearly/,Climate and environment,NA,NA,NA,Investigative,Methodology published,"This investigation uses FIRMS to detect fires, applies a filtering mechanism, then obtains coordinates to source optical images of the fires to present as visual evidence. The cross referencing of two RSEO data sources qualifies this story as investigative according to the schema.","VIIRS, MODIS, Optical, SWIR","VIS, MS, TIR",FIRMS,"NASA, NOAA, SentinelHub","NASA, ESA","RGB, TIR, SWIR",Public,Public,2021-11-03
7,sigma,Qatar,"101 East, AJLabs, Al Jazeera Media Network",Myanmar’s state of fear,This is Myanmar's State of Fear,aje.io/myanmarcrackdown,War and conflict,NA,NA,NA,Evidentiary,NA,"Although multiple sources are combined to tell this story, the satellite images of the identified sites are a product of the investigation rather than an input to it. The geolocated sites play a key role in the story, and the satellite images strengthen the claims, but the evidentiary trail which led to them is made up of witness testimony. Because the images are the output of the investigation rather than an input to it, and provide evidence for the key claims.",Optical,VIS,NA,Unclear,Unknown,RGB,NA,NA,2021-08-10
8,sigma,France,"Disclose,Interprt,Princeton",Mururoa Files,Mururoa Files,https://moruroa-files.org,Human health,NA,yes,"Science & Global Security program at Princeton University, INTERPRT, Disclose",Experimental,"Methodology published, and also submitted as an academic paper.","This story uses RSEO data in two ways: as an illustrative presentation medium to visually represent the analysis, and as an input to the analysis itself. Multiple sources were combined in the investigation. Declassified documents and open government sources provided input variables to a particle transport and dispersion model built with meteorological data from the NCEP/NCAR Reanalysis (1948 – present) project to reconstruct the fallout from nuclear testing in the Pacific and compare it to the official dose reports from the French government.","Optical, meteorological data","MS, TIR, MW",NCEP/NCAR Reanalysis,"Maxar, NOAA","Maxar, NOAA","RGB, Derived","Public, Commercial",Both,2021-03-09
9,sigma,United States,Bloomberg,Chinese companies polluting the world,The Chinese Companies Polluting the World More Than Entire Nations,https://www.bloomberg.com/graphics/2021-china-climate-change-biggest-carbon-polluters/,Climate and environment,NA,NA,NA,Illustrative,NA,ESRI land cover is used to illustrate urban expansion and construction – the key evidence in the story is reported from other sources.,Multispectral + NIR,MS,ESRI land cover,Sentinel,ESA,"RGB, NIR, Derived",Public,Public,2021-10-25
10,sigma,Singapore,The Straits Times,"Supply chains, interrupted","Supply chains, interrupted. Why a bicycle takes 40 days to reach Singapore",https://www.straitstimes.com/multimedia/graphics/2021/12/global-supply-chain-problems/index.html,Shipping and logistics,NA,NA,NA,Evidentiary,NA,"Comparison counts of ships in port at major harbours are used as evidence for the supply chain delays described in the story. The data is presented as a component of the evidence base for one of the story’s key points. Multiple data sources are used to piece together the story's main beats, but as this data is only used to support a single component of the story it's assigned to the evidentiary, rather than investigative, category i.e. this piece of evidence stands alone.",Optical,VIS,NA,SentinelHub,ESA,RGB,Public,Public,2021-12-03
11,sigma,Jordan,Arab Reporters for Investigative Journalism (ARIJ),Lanes of death in East Cairo,Lanes of Death in East Cairo,https://arij.net/investigations/Cairo-Streets-en/,Urbanism and infrastructure,NA,NA,NA,Evidentiary,NA,"Time series comparison using optical images from Google Earth support the claims made in the story, and are presented as visual evidence for the loss of pedestrian infrastructure. The images are the output of the investigation, rather than an input, so the story is assigned to the Evidentiary category.",Optical,VIS,NA,Maxar via Google Earth,Google,RGB,Public,Public,2021-09-30
12,sigma,Switzerland,Neue Zürcher Zeitung,Is there such a thing as sustainable palm oil?,Is there such a thing as sustainable palm oil? Satellite images show protected rainforest on fire,https://www.nzz.ch/english/palm-oil-boom-threatens-protected-rainforest-in-indonesia-ld.1625490,Climate and environment,NA,yes,Global Forest Watch,Investigative,Methodology published,"The story cross-references FIRMS data with palm oil concessions, protected areas, primary rainforest, peatlands, and forest cover data to see where deforestation occurs in protected areas.","VIS, VIIRS","MS, TIR",FIRMS,NA,NASA,"RGB, TIR",Public,Public,2021-05-18
13,sigma,Brazil,InfoAmazonia,Engolindo Fumaça,Engolindo Fumaça (Inhaling Smoke),https://infoamazonia.org/project/engolindo-fumaca/,Human health,Climate and environment,yes,"InfoAmazonia, University of Acre, Observatory Comate and Health/ICICT, Stanford University",Experimental,Methodology published and code shared on Github,"The RSEO data is a component of an investigative process elucidating the relationship between environmental and public health. RSEO data in the investigation includes air particulate matter, VIIRS,  combined with COVID-19 data to show the relationship between fires, air pollution, and public health impact. The story is based on a mixed-effects regression model, combining RSEO and health data inputs. The output of this model is the basis of the story, classifying it as experimental.","VIIRS, MODIS, OMI, SEVIRI, AVHRR","VIS, MS, TIR, UV, MW","CAMS-NRT, AOD","SNPP, NOAA, Terra, Aqua","NASA, ECMWF","RGB, NIR, TIR, UV",Public,Public,2021-08-23
14,sigma,United States,"The Associated Press, FRONTLINE",Putin's Attack on Ukraine,Putin's Attack on Ukraine: Documenting War Crimes,https://www.pbs.org/wgbh/frontline/interactive/ap-russia-war-crimes-ukraine/,War and conflict,NA,yes,"AP, Frontline, Center for Information Resilience, Bellingat, The Reckoning Project, the International Partnership for Human Rights, the Ukrainian Heathcare Center, Physicians for Human Rights",Evidentiary,Methodology published,"Optical RSEO data is used as an input to a verification process, combined with other open sources and witness testimony, and expert legal opinion, linking events to international legal frameworks.",Optical,VIS,NA,"Google Earth, Maxar, Planet","Google, Maxar, Planet",RGB,"Public, Commercial",Both,2022-03-16
15,sigma,Uruguay,Amenaza Roboto (www.amenazaroboto.com),La ciudad sumergida,La ciudad sumergida (The submerged city),https://www.amenazaroboto.com/uruguay2100/montevideo,Urbanism and infrastructure,Climate and environment,NA,NA,Illustrative,NA,Satellite images are used as base maps to illustrate the impact of flood forcasts,Optical,VIS,NA,Unclear,Unknown,RGB,Public,Public,2022-11-22
16,sigma,Australia,Australian Broadcasting Corporation,Culture in the crosshairs,Culture in the Crosshairs,https://www.abc.net.au/news/2022-08-25/the-hi-tech-3d-fight-to-save-ukrainian-culture-from-destruction/101262720,War and conflict,NA,NA,NA,Evidentiary,NA,Excluding the use of LIDAR from the classification because it’s not performed remotely. However the story also uses optical data from Planet to as evidence for the destruction of sites reported by the Ukrainian Ministry of Culture.,Optical,VIS,NA,"Google Earth, Planet","Google, Planet",RGB,"Public, Commercial",Both,2022-08-25
17,sigma,United Kingdom,Unearthed,Big oil's dirty secret in Iraq,Big oil's dirty secret in Iraq,https://projects.unearthed.greenpeace.org/big-oil-iraq/,Human health,Extractive industries,yes,"SRON Netherlands, Greenpeace, BBC",Hybrid,NA,"RSEO data is used at multiple levels of this investigation: illustratively and evidentially, to show the proximity of flaring rigs to homes, and also to show a methane plume detected by SRON Netherlands using a ML model. This analysis was performed by a partner, and contributed to the investiation, classifying this story as Hybrid","Optical, TIRS, TROPOMI","MS, TIR",NA,"Sentinel, Landsat, Maxar","ESA, USGS, Maxar","RGB, NIR, SWIR, TIR","Public, Commercial",Both,2022-09-29
